,names,rates,director,actors
37,Lovecraft Country,,,"Abbey Lee, Chase Brown, Aunjanue Ellis, Marcus A. Griffin Jr."
38,Knives Out,7.9,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis"
39,Deep Blue Sea 3,4.6,John Pogue,"Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster"
40,Euphoria,8.3,,"Zendaya, Maude Apatow, Angus Cloud, Eric Dane"
41,Friends,8.9,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc"
42,Tenet,,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Aaron Taylor-Johnson"
43,Stranger Things,8.8,,"Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"
44,The Alienist,7.7,,"Daniel Brühl, Dakota Fanning, Luke Evans, Robert Wisdom"
45,Peaky Blinders,8.8,,"Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle"
46,Warrior Nun,6.9,,"Alba Baptista, Toya Turner, Kristina Tonteri-Young, Lorena Andrea"
47,Glee,6.7,,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith"
48,Kaze to tomo ni sarinu,8.1,,"Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil"
49,Sons of Anarchy,8.6,,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
50,Suits,8.5,,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
51,La Casa de Papel,8.4,,"Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso"
52,In the Dark,7.4,,"Perry Mattfeld, Rich Sommer, Brooke Markham, Morgan Krantz"
53,Brave New World,7.0,,"Alden Ehrenreich, Jessica Brown Findlay, Harry Lloyd, Nina Sosanya"
54,Doom Patrol,8.0,,"Diane Guerrero, April Bowlby, Matt Bomer, Brendan Fraser"
55,For All Mankind,7.5,,"Joel Kinnaman, Michael Dorman, Jodi Balfour, Wrenn Schmidt"
56,The Sopranos,9.2,,"James Gandolfini, Lorraine Bracco, Edie Falco, Michael Imperioli"
57,Outlander,8.4,,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton"
58,The Last Kingdom,8.4,,"Alexander Dreymon, Eliza Butterworth, Ian Hart, Arnas Fedaravicius"
59,The Big Bang Theory,8.1,,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg"
60,New Girl,7.7,,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone"
61,The Mandalorian,8.7,,"Pedro Pascal, Carl Weathers, Rio Hackford, Gina Carano"
62,The Walking Dead: World Beyond,,,"Annet Mahendru, Aliyah Royale, Nico Tortorella, Joe Holt"
63,Double World,6.1,Teddy Chan,"Henry Lau, Mark Cheng, Peter Ho, Ming Hu"
64,Dark Desire,6.4,,"Maite Perroni, María Fernanda Yepes, Erik Hayser, Jorge Poza"
65,The Gentlemen,7.9,Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong"
66,Animal Crackers,5.8,,"Emily Blunt, Danny DeVito, John Krasinski, Ian McKellen"
67,Better Call Saul,8.7,,"Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian"
68,Shôshanku no sora ni,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
69,Hanna,7.5,,"Esme Creed-Miles, Mireille Enos, Joel Kinnaman, Yasmin Monet Prince"
70,Brooklyn Nine-Nine,8.4,,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero"
71,ウィッチャー,8.2,,"Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni"
72,Snowpiercer,6.7,,"Jennifer Connelly, Daveed Diggs, Mickey Sumner, Alison Wright"
73,Once Upon a Time... in Hollywood,7.7,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch"
74,Black Mirror,8.8,,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones"
75,Love,6.1,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra"
76,Goddofâzâ,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton"
77,Succession,8.5,,"Hiam Abbass, Nicholas Braun, Brian Cox, Kieran Culkin"
78,Avatar: The Last Airbender,9.2,,"Zach Tyler, Jack De Sena, Dee Bradley Baker, Mae Whitman"
79,Westworld,8.7,,"Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton"
80,"Yes, God, Yes",5.9,Karen Maine,"Christian Adam, Susan Blackwell, Alisha Boe, Donna Lynne Champlin"
81,Law & Order: Special Victims Unit,8.0,,"Mariska Hargitay, Christopher Meloni, Ice-T, Dann Florek"
82,The Blacklist,8.0,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold"
83,House M.D.,8.7,,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer"
84,Lost,8.3,,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly"
85,The Outpost,6.7,Rod Lurie,"Orlando Bloom, Celina Sinden, Scott Eastwood, Caleb Landry Jones"
86,American Horror Story,8.0,,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson"
87,Zack Snyder's Justice League,,Zack Snyder,"Amber Heard, Henry Cavill, Connie Nielsen, Jason Momoa"
88,Dune,,Denis Villeneuve,"Rebecca Ferguson, Zendaya, Jason Momoa, Timothée Chalamet"
89,Kajillionaire,5.6,Miranda July,"Evan Rachel Wood, Gina Rodriguez, Debra Winger, Richard Jenkins"
90,The Vampire Diaries,7.7,,"Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham"
91,Absentia,7.3,,"Stana Katic, Patrick Heusinger, Neil Jackson, Paul Freeman"
92,His Dark Materials,7.9,,"Dafne Keen, Kit Connor, Amir Wilson, Andrew Scott"
93,NCIS: Naval Criminal Investigative Service,7.8,,"Mark Harmon, David McCallum, Sean Murray, Pauley Perrette"
94,Joker,8.5,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
95,Fargo,8.9,,"Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks"
96,The Handmaid's Tale,8.5,,"Elisabeth Moss, Amanda Brugel, Madeline Brewer, Max Minghella"
97,Stargirl,7.3,,"Brec Bassinger, Yvette Monreal, Anjelika Washington, Trae Romano"
98,Parasaito: Hanchika no kazoku,8.6,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo, Woo-sik Choi"
99,After,5.4,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Khadijha Red Thunder, Dylan Arnold"
100,Motherless Brooklyn,6.8,Edward Norton,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin, Willem Dafoe"
101,Avengers: Endgame,8.4,,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
102,The Sinner,8.0,,"Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel"
103,The Wire,9.3,,"Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce"
104,Parks and Recreation,8.6,,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt"
105,Homeland,8.3,,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend"
106,MILF,4.7,Axelle Laffont,"Marie-Josée Croze, Virginie Ledoyen, Axelle Laffont, Waël Sersoub"
107,Sherlock,9.1,,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"
108,Target Number One,6.1,Daniel Roby,"Antoine Olivier Pilon, Josh Hartnett, Stephen McHattie, Jim Gaffigan"
109,Buffy the Vampire Slayer,8.2,,"Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan, Anthony Head"
110,Rick and Morty,9.2,,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
111,The Silencing,6.0,Robin Pront,"Nikolaj Coster-Waldau, Caleb Ellsworth-Clark, Josh Cruddas, Annabelle Wallis"
112,Doctor Who,8.6,,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith"
113,Dexter,8.6,,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar"
114,Raat Akeli Hai,7.5,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav, Padmavati Rao"
115,How I Met Your Mother,8.3,,"Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris"
116,Train to Busan 2,6.0,Sang-ho Yeon,"Dong-Won Gang, Jung-hyun Lee, John D. Michaels, Daniel Joey Albright"
117,Hannibal,8.5,,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"
118,Ford v Ferrari,8.1,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe"
119,What We Do in the Shadows,8.5,,"Kayvan Novak, Matt Berry, Natasia Demetriou, Harvey Guillén"
120,Unhinged,6.2,Derrick Borte,"Russell Crowe, Jimmi Simpson, Caren Pistorius, Gabriel Bateman"
121,How to Sell Drugs Online (Fast),7.9,,"Maximilian Mundt, Danilo Kamber, Lena Klenke, Damian Hardung"
122,The Morning Show,8.4,,"Jennifer Aniston, Reese Witherspoon, Desean Terry, Victoria Tate"
123,How to Get Away with Murder,8.1,,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King"
124,The Wolf of Wall Street,8.2,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
125,13 Reasons Why,7.7,,"Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe"
126,Downton Abbey,8.7,,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle"
127,The Crown,8.7,,"Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith"
128,Black Is King,5.6,,"Folajomi 'FJ' Akinmurele, Aweng Ade-Chuol, Adut Akech, Yemi Alade"
129,Solo: A Star Wars Story,6.9,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover"
130,Prison Break,8.3,,"Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper"
131,Doctor Sleep,7.4,Mike Flanagan,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis"
132,The New Mutants,,Josh Boone,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Blu Hunt"
133,Midway,6.7,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans"
134,Ofrenda a la tormenta,6.2,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Nene, Francesc Orella"
135,Queen of the South,7.9,,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón"
136,Wonder Woman 1984,,Patty Jenkins,"Connie Nielsen, Pedro Pascal, Gal Gadot, Chris Pine"
137,Bones,7.8,,"Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne"
138,Midsommar,7.1,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper"
139,Charlie's Angels,4.7,Elizabeth Banks,"Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks"
140,Blindspot,7.4,,"Sullivan Stapleton, Jaimie Alexander, Audrey Esparza, Ashley Johnson"
141,Normal People,8.6,,"Daisy Edgar-Jones, Paul Mescal, Desmond Eastwood, Aislín McGuckin"
142,Harry Potter and the Sorcerer's Stone,7.6,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith"
143,The Flash,7.7,,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes"
144,The Invisible Man,7.1,Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge"
145,Midsomer Murders,7.7,,"John Nettles, Jane Wymark, Barry Jackson, Jason Hughes"
146,Fear the Walking Dead,6.9,,"Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades"
147,Once Upon a Time,7.7,,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle"
148,Gilmore Girls,8.1,,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson"
149,The F**k-It List,5.1,Michael Duggan,"Eli Brown, Madison Iseman, Marcus Scribner, Karan Brar"
150,Back to the Future,8.5,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
151,1917,8.3,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
152,True Detective,9.0,,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch"
153,Relic,5.9,Natalie Erika James,"Emily Mortimer, Robyn Nevin, Bella Heathcote, Jeremy Stanford"
154,Mindhunter,8.6,,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
155,Star Trek: The Next Generation,8.6,,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
156,Helstrom,,,"Kyle Warren, Xavier De Salaberry, Fiona Dourif, Arkie Kandola"
157,Sukotto Pirugurimu vs. Jaaku na Moto Kare Gundan,7.5,Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick"
158,Koma,6.3,Nikita Argunov,"Rinal Mukhametov, Lyubov Aksyonova, Anton Pampushnyy, Milos Bikovic"
159,Stateless,7.5,,"Yvonne Strahovski, Jai Courtney, Asher Keddie, Fayssal Bazzi"
160,Interstellar,8.6,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
161,Billions,8.4,,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile"
162,Inception,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe"
163,Mad Men,8.6,,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones"
164,Psych,8.3,,"James Roday Rodriguez, Dulé Hill, Timothy Omundson, Corbin Bernsen"
165,It's Always Sunny in Philadelphia,8.8,,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson"
166,Pride & Prejudice,7.8,Joe Wright,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland"
167,Dead to Me,8.0,,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler"
168,Chhichhore,8.2,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik"
169,Radioactive,6.1,Marjane Satrapi,"Rosamund Pike, Yvette Feuer, Mirjam Novak, Ralph Berkin"
170,Dâku naito,9.0,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
171,Transformers: War for Cybertron,7.7,,"Jason Marnocha, Jake Foushee, Linsay Rousseau, Frank Todaro"
172,Extraction,6.7,Sam Hargrave,"Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal"
173,Little Women,7.9,Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
174,Las Vegas,7.4,,"Josh Duhamel, James Caan, James Lesure, Vanessa Marcil"
175,The Hunt,6.5,Craig Zobel,"Betty Gilpin, Hilary Swank, Ike Barinholtz, Wayne Duvall"
176,Mr. Robot,8.5,,"Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström"
177,Arrow,7.5,,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson"
178,Killing Eve,8.3,,"Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia"
179,Sukubi do~u,5.7,Tony Cervone,"Will Forte, Mark Wahlberg, Jason Isaacs, Gina Rodriguez"
180,This Is Us,8.7,,"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz"
181,BlacKkKlansman,7.5,Spike Lee,"John David Washington, Adam Driver, Laura Harrier, Topher Grace"
182,Uncut Gems,7.4,,"Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo"
183,Seinfeld,8.8,,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
184,Wynonna Earp,7.4,,"Melanie Scrofano, Tim Rozon, Dominique Provost-Chalkley, Katherine Barrell"
185,Condor,7.8,,"Max Irons, Kristen Hager, Bob Balaban, Sam McCarthy"
186,Shakuntala Devi,6.3,Anu Menon,"Vidya Balan, Sanya Malhotra, Jishu Sengupta, Amit Sadh"
187,Sex Education,8.3,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey"
188,X-Fairu,8.6,,"David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis"
189,Riverdale,7.0,,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse"
190,ER,7.7,,"Anthony Edwards, George Clooney, Julianna Margulies, Eriq La Salle"
191,The Expanse,8.5,,"Steven Strait, Cas Anvar, Dominique Tipper, Wes Chatham"
192,Amulet,4.5,Romola Garai,"Carla Juri, Alec Secareanu, Imelda Staunton, Anah Ruddin"
193,The Simpsons,8.7,,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner"
194,グラディエーター,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
195,Trolls World Tour,6.1,,"Anna Kendrick, Justin Timberlake, Rachel Bloom, James Corden"
196,Clueless,6.8,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
197,Vivarium,5.8,Lorcan Finnegan,"Imogen Poots, Danielle Ryan, Molly McCann, Jesse Eisenberg"
198,Endeavour,8.6,,"Shaun Evans, Roger Allam, James Bradshaw, Sean Rigby"
199,P-Valley,5.6,,"Brandee Evans, Nicco Annan, Shannon Thornton, Elarica Johnson"
